Date,Type,Description,City
2017-01-07,smuggling,,Savannah
2017-01-11,murder,,Springdale
2017-01-12,smuggling,,Melbourne
2017-01-13,assault,,Reading
2017-01-14,blackmail,,Orange
2017-01-16,blackmail,,Ontario
2017-01-16,bribery,,Memphis
2017-01-19,robbery,,Asheville
2017-01-22,robbery,,Houston
2017-01-22,bribery,,Oakland
2017-01-22,bribery,,Omaha
2017-01-22,assault,,Layton
2017-01-23,blackmail,,Arvada
2017-01-23,assault,,Sterling Heights
2017-01-24,arson,,Arlington
2017-01-24,murder,,Waterbury
2017-01-29,robbery,,Saint Louis
2017-01-30,fraud,,Lancaster
2017-01-30,arson,,Allentown
2017-01-31,bribery,,Layton
2017-01-31,bribery,,Apple Valley
2017-02-02,blackmail,,Boise City
2017-02-03,smuggling,,Montgomery
2017-02-04,blackmail,,Albuquerque
2017-02-04,theft,,Tyler
2017-02-05,bribery,,Round Lake Beach
2017-02-07,arson,,Jefferson
2017-02-07,murder,,Amarillo
2017-02-10,blackmail,,McAllen
2017-02-10,bribery,,Muskegon
2017-02-14,assault,,Lake Charles
2017-02-16,arson,,Seattle
2017-02-19,theft,,Irving
2017-02-20,murder,,Colorado Springs
2017-02-20,assault,,Tyler
2017-02-21,blackmail,,Boise
2017-02-21,robbery,,Winter Haven
2017-02-22,bribery,,Rochester
2017-02-25,murder,,Ontario
2017-02-27,assault,,Reading
2017-02-28,blackmail,,Corpus Christi
2017-03-01,assault,,Denver
2017-03-01,robbery,,Clarksville
2017-03-03,blackmail,,Bethlehem
2017-03-04,murder,,Thousand Oaks
2017-03-04,robbery,,Bonita Springs
2017-03-08,arson,,Hollywood
2017-03-10,arson,,GreenBay
2017-03-15,smuggling,,Daly City
2017-03-15,robbery,,Anchorage
2017-03-16,smuggling,,Chula Vista
2017-03-19,robbery,,Brownsville
2017-03-19,blackmail,,Marysville
2017-03-19,theft,,Joliet
2017-03-19,bribery,,Kalamazoo
2017-03-20,arson,,North Charleston
2017-03-23,arson,,Vancouver
2017-03-26,bribery,,Daytona Beach
2017-03-26,murder,,Evansville
2017-03-29,arson,,Poughkeepsie
2017-03-31,theft,,Winston
2017-03-31,fraud,,Victorville
2017-04-03,murder,,Indianapolis
2017-04-08,murder,,Madison
2017-04-08,fraud,,Chula Vista
2017-04-10,assault,,Kissimmee
2017-04-11,fraud,,Newark
2017-04-11,smuggling,,Bridgeport
2017-04-12,smuggling,,Honolulu
2017-04-12,arson,,San Buenaventura
2017-04-12,arson,,Harlingen
2017-04-14,smuggling,,Athens
2017-04-15,bribery,,Atlantic City
2017-04-15,theft,,Frederick
2017-04-21,bribery,,San Francisco
2017-04-25,murder,,Vero Beach
2017-04-25,fraud,,San Antonio
2017-04-27,theft,,Riverside
2017-04-28,arson,,Houma
2017-04-29,theft,,Tacoma
2017-04-30,assault,,Layton
2017-05-06,arson,,Duluth
2017-05-07,theft,,McHenry
2017-05-08,fraud,,Louisville
2017-05-09,robbery,,Johnson City
2017-05-09,theft,,Santa Cruz
2017-05-10,robbery,,Berkeley
2017-05-12,assault,,Fort Walton Beach
2017-05-13,smuggling,,Norwich
2017-05-15,smuggling,,Port St. Lucie
2017-05-18,blackmail,,Little Rock
2017-05-19,robbery,,Chandler
2017-05-19,bribery,,San Francisco
2017-05-24,assault,,Buffalo
2017-05-25,blackmail,,Oklahoma City
2017-05-27,fraud,,Jackson
2017-05-28,bribery,,Champaign
2017-05-29,robbery,,Cape Coral
2017-06-02,fraud,,Reno
2017-06-02,fraud,,Muskegon
2017-06-03,blackmail,,Orlando
2017-06-06,bribery,,Lancaster
2017-06-07,bribery,,Joliet
2017-06-09,assault,,Green Bay
2017-06-09,theft,,Abilene
2017-06-14,fraud,,Roseville
2017-06-15,fraud,,Huntsville
